Line,Score,FlashScore,FixFreq,BlockFreq
org.mockito.internal.matchers.Same#37,0.3333333333333333,0.0,0,1
org.mockito.internal.invocation.InvocationsFinder#74,0.25,2.2469209819699216,7330,13545
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool#41,0.25,2.2469209819699216,7330,13545
org.mockito.internal.invocation.InvocationsFinder#71,0.25,2.1018710804075753,3985,7872
org.mockito.internal.verification.checkers.MissingInvocationChecker#35,0.25,1.150123813603146,1962,7083
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool#27,0.25,0.9667465482930675,156,670
org.mockito.internal.verification.checkers.MissingInvocationChecker#34,0.25,0.9007452882691774,1880,8666
org.mockito.internal.invocation.InvocationsFinder#73,0.25,0.8026792637275724,631,3264
org.mockito.internal.invocation.InvocationMatcher#87,0.25,0.6439011872115146,58,374
org.mockito.internal.invocation.InvocationMatcher#89,0.25,0.6326708012995864,263,1726
org.mockito.internal.invocation.InvocationsFinder#70,0.25,0.5790393126489787,170,1219
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool#25,0.25,0.49860892263743617,110,916
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool#21,0.25,0.48290556899496484,413,3551
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool#26,0.25,0.4112256452864548,31,313
org.mockito.internal.verification.checkers.MissingInvocationChecker#36,0.25,0.40888778418416727,1521,15445
org.mockito.internal.matchers.Same#35,0.2,2.4732277345773466,4863,8164
org.mockito.Matchers#525,0.2,2.2469209819699216,7330,13545
org.mockito.internal.invocation.Invocation#98,0.2,2.2469209819699216,7330,13545
org.mockito.internal.matchers.Same#23,0.2,2.2469209819699216,7330,13545
org.mockito.internal.matchers.Same#27,0.2,0.7419000904687432,860,4813
org.mockito.internal.invocation.InvocationsFinder#67,0.2,0.5240454590261775,364,2884
org.mockito.internal.invocation.InvocationMatcher#75,0.2,0.40888778418416727,1521,15445
org.mockito.internal.invocation.InvocationMatcher#76,0.2,0.36430225545459255,1027,11705
org.mockito.internal.invocation.InvocationMatcher#81,0.2,0.3572746780401425,494,5741
org.mockito.internal.invocation.InvocationMatcher#78,0.2,0.3567269883104527,1486,17296
org.mockito.internal.invocation.InvocationMatcher#79,0.2,0.3567269883104527,1486,17296
org.mockito.internal.invocation.InvocationMatcher#83,0.2,0.31014397632519586,160,2142
org.mockito.internal.invocation.InvocationMatcher#80,0.2,0.27400309220819385,711,10774
org.mockito.internal.matchers.Same#28,0.2,0.19800982634963357,547,11470
org.mockito.internal.util.reflection.AccessibilityChanger#17,0.16666666666666666,4.152052483053559,3,3
org.mockito.MockitoAnnotations#134,0.16666666666666666,2.4732277345773466,4863,8164
org.mockito.internal.configuration.DefaultAnnotationEngine#101,0.16666666666666666,2.4732277345773466,4863,8164
org.mockito.internal.configuration.DefaultAnnotationEngine#36,0.16666666666666666,2.2469209819699216,7330,13545
org.mockito.internal.configuration.InjectingAnnotationEngine#30,0.16666666666666666,2.2469209819699216,7330,13545
org.mockito.MockitoAnnotations#124,0.16666666666666666,2.1841785778927028,9199,17487
org.mockito.internal.configuration.DefaultAnnotationEngine#54,0.16666666666666666,2.1841785778927028,9199,17487
org.mockito.internal.configuration.DefaultAnnotationEngine#90,0.16666666666666666,2.1841785778927028,9199,17487
org.mockito.internal.progress.ArgumentMatcherStorageImpl#111,0.16666666666666666,2.1841785778927028,9199,17487
org.mockito.internal.progress.ThreadSafeMockingProgress#60,0.16666666666666666,2.1841785778927028,9199,17487
org.mockito.internal.util.reflection.AccessibilityChanger#19,0.16666666666666666,2.1841785778927028,9199,17487
org.mockito.internal.util.reflection.FieldSetter#23,0.16666666666666666,2.1841785778927028,9199,17487
